car_id;car_class_id;team_id;driver_id;name;rating_old
102;100;104438;104438;Govand Keanie;5501;
102;100;108036;108036;Nicki Thiim;4399;
102;100;151531;151531;Pierre Quiroule;2358;
72;473;161308;161308;Andrew Hughson;2098;
93;100;165960;165960;A. Sebastian Dienst;2381;
92;100;168966;168966;Max Verstappen;7550;
102;100;222795;222795;Laurens de Rijk;5124;
73;473;223261;223261;Xander Hernandez;3411;
72;473;251051;251051;Bruno Oliveira5;1373;
72;473;275156;275156;Kenichi Ishii;1663;
72;473;296447;296447;Dario Sullo;2938;
92;100;30180;30180;Sebastien Tixier;2209;
102;100;306054;306054;Tony Jacobs;3230;
73;473;311045;311045;David NARBONNE;2375;
102;100;319239;319239;Pierre Schläger;3310;
109;100;331727;331727;Tejasvi shetty;2176;
93;100;336934;336934;Till Norwig;2589;
93;100;340036;340036;Benjamin Siess;2730;
92;100;34038;34038;Shane van Gisbergen;5352;
72;473;346443;346443;Bence Némethi;2792;
93;100;347777;347777;Frank Schlothmann;4080;
72;473;349558;349558;Carles Talens Sebastià;1396;
93;100;356582;356582;Dennis Cho;2344;
92;100;369542;369542;Thomas Haglestein;2787;
102;100;373711;373711;Greig Murray;2283;
72;473;374895;374895;Jean-Michel Vauclin;1242;
93;100;383318;383318;Ryan Barneveld2;2802;
70;77;388375;388375;Jeffrey Aldis;1344;
102;100;45790;45790;Kazuhiro Shiba;2750;
93;100;55269;55269;Christopher Zoechling;4808;
102;100;66022;66022;Trevor Johnson;2982;
109;100;129311;129311;Jason Bondi;1610;
102;100;192372;192372;Benjamin Brook;1836;
109;100;210499;210499;Martijn Aarts;1887;
102;100;211204;211204;Mario Pejakovic;1252;
93;100;284114;284114;Joakim Jansson2;1512;
93;100;311169;311169;Keishiro Irie;984;
109;100;323994;323994;Antonio Camargo Junior;2031;
102;100;331994;331994;Dani Biegel;1645;
102;100;334400;334400;Scott Tuffey;1155;
93;100;337480;337480;Morgan Svensk;898;
93;100;339048;339048;Marcel Zett;1919;
109;100;339391;339391;Arnaud Delince;1038;
102;100;339962;339962;Joe McKay2;1666;
102;100;363595;363595;Ingo Kussian;1329;
109;100;372654;372654;Patrick Almeida;1256;
109;100;374532;374532;Pedro H. Oliveira;1800;
109;100;375259;375259;Daniel Rodrigo;1265;
93;100;380729;380729;Andrea Panicali;937;
102;100;381159;381159;Jan Ternjak;2066;
92;100;381645;381645;Lars Wallenborn;2016;
93;100;384315;384315;Ahmed Ghareeb;1537;
109;100;388214;388214;Mark D Hutchinson;1669;
109;100;392202;392202;Deon Wren;1178;
93;100;392604;392604;Fabio Alaimo;1463;
102;100;393414;393414;Matias Karjalainen;1486;
93;100;393813;393813;Giovanni Pacifici;1531;
93;100;394834;394834;Eric BOUET;695;
102;100;396593;396593;Manu Casasnovas;1126;
102;100;397098;397098;kevin Bestin;941;
93;100;403626;403626;Yuki Shirakawa;2091;
102;100;405760;405760;Valentin Nier;1337;
